OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-AC1,Adobe Creek at Soda Bay Rd at Rancho De La Fuente,River/Stream,,,,,,,39.0153800000,-122.8709000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-AC2,Adobe Creek Finley,River/Stream,,,,,,,39.0007000000,-122.8758000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-AC3,Adobe Creek at Merritt Crossing,River/Stream,,,,,,,38.9826900000,-122.8788000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-AC4,Adobe Creek Bell Hill,River/Stream,,,,,,,38.9573900000,-122.8913000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-AP01,Austin Park 01,Lake,,,,,,,38.9598300000,-122.6502700000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-AW,Alternate Well,Well,,,,,,,39.0114300000,-122.8941000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BP,Buckingham Point,Lake,,,,,,,39.0010000000,-122.7507000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL1,Agricultural Runoff Ditch 1490 Soda Bay Culvert,Land Runoff,,,,,,,39.0149513889,-122.8850000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL10,Mouth of Catfish Alley (RETIRED SITE NUMBER),Lake,,18020116,,,,,39.0126105000,-122.5350000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL11,Western Boundary (Wetland Tule Gathering site),Lake,,,,,,,39.0236900000,-122.8977000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL12,Marina Lake Site,Lake,,,,,,,39.0224300000,-122.8878000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL13,Rumsey Slough by the old bridge,Lake,,,,,,,39.0222200000,-122.8926000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL14,Rumsey Slough End (Near Osprey Ct.),Lake,,,,,,,39.0150700000,-122.8907000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL15,Rumsey Slough Mid Site (Wooldridge's property),Lake,,,,,,,39.0185400000,-122.8941000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL16,Rumsey Slough Mouth (Catfish Alley),Lake,,,,,,,39.0241360000,-122.8904920000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL17,Deep Lake Station 2-300 Ft. West of BVCL5,Lake,,,,,,,39.0290872200,-122.8871642000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL18,Ag Drainage behind Mission Way,Land Runoff,,,,,,,39.0221313900,-122.8878461000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL19,Western Boundary Site 2 (cow's drinking point),Lake,,,,,,,39.0248300000,-122.8994000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL2,Land's End Slough,Lake,,,,,,,39.0246436200,-122.8846558000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL20,Fishing Point (old pump house),Lake,,,,,,,39.0244800000,-122.8888000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL3,Mouth of Land's End Slough,Lake,,,,,,,39.0269111100,-122.8849881000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL4,Soreline point Northern most tip of the Point (RETIRED SITE NUMBER),Lake,,18020116,,,,,39.0139310000,-122.5309750000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
